Radial coordinate	delta n
mm	
	211Bi-Ge
-6,745	0,00226683153174141
-6,74	0,00226683153174141
-6,735	0,00226683153174141
-6,73	0,00226683153174141
-6,725	0,00226683153174141
-6,72	0,00226683153174141
-6,715	0,00226683153174141
-6,71	0,00226683153174141
-6,705	0,00226683153174141
-6,7	0,00226683153174141
-6,695	0,00226683153174141
-6,69	0,00226683153174141
-6,685	0,00226683153174141
-6,68	0,00226683153174141
-6,675	0,00226683153174141
-6,67	0,00226683153174141
-6,665	0,00226683153174141
-6,66	0,00226683153174141
-6,655	0,00226778153174141
-6,65	0,00226874153174141
-6,645	0,00226874153174141
-6,64	0,00226874153174141
-6,635	0,00226874153174141
-6,63	0,00226969153174141
-6,625	0,00226969153174141
-6,62	0,00226969153174141
-6,615	0,00226969153174141
-6,61	0,00226969153174141
-6,605	0,00226969153174141
-6,6	0,00226874153174141
-6,595	0,00226874153174141
-6,59	0,00226778153174141
-6,585	0,00226778153174141
-6,58	0,00226778153174141
-6,575	0,00226683153174141
-6,57	0,00226683153174141
-6,565	0,00226588153174141
-6,56	0,00226588153174141
-6,555	0,00226683153174141
-6,55	0,00226683153174141
-6,545	0,00226778153174141
-6,54	0,00226874153174141
-6,535	0,00226874153174141
-6,53	0,00226874153174141
-6,525	0,00226969153174141
-6,52	0,00226874153174141
-6,515	0,00226778153174141
-6,51	0,00226683153174141
-6,505	0,00226588153174141
-6,5	0,00226588153174141
-6,495	0,00226588153174141
-6,49	0,00226492153174141
-6,485	0,00226492153174141
-6,48	0,00226397153174141
-6,475	0,00226397153174141
-6,47	0,00226302153174141
-6,465	0,00226206153174141
-6,46	0,00226302153174141
-6,455	0,00226302153174141
-6,45	0,00226302153174141
-6,445	0,00226302153174141
-6,44	0,00226302153174141
-6,435	0,00226302153174141
-6,43	0,00226302153174141
-6,425	0,00226302153174141
-6,42	0,00226302153174141
-6,415	0,00226397153174141
-6,41	0,00226397153174141
-6,405	0,00226397153174141
-6,4	0,00226397153174141
-6,395	0,00226397153174141
-6,39	0,00226397153174141
-6,385	0,00226397153174141
-6,38	0,00226397153174141
-6,375	0,00226397153174141
-6,37	0,00226397153174141
